product_id,therapeutic_class,n_episodes,total_days_short,longest_episode_days,ever_open_at_cutoff
P00709,Electrolytes / fluids,1,170,170,0
P00710,Ophthalmic,2,163,135,0
P00711,Endocrine,4,342,149,0
P00712,CNS / analgesia,1,180,180,0
P00713,Respiratory,1,80,80,0
P00714,Electrolytes / fluids,1,79,79,0
P00715,Immunologic,1,17,17,0
P00716,Anti-infective,1,30,30,0
P00717,Cardiovascular,1,96,96,0
P00718,Anaesthesia,1,264,264,0
P00719,CNS / analgesia,3,161,73,0
P00720,Anti-infective,2,195,131,0
P00721,Electrolytes / fluids,1,281,281,0
P00722,Anti-infective,4,287,97,0
P00723,Cardiovascular,2,373,330,0
P00724,Oncology,3,791,589,0
P00725,Oncology,1,18,18,0
P00726,Electrolytes / fluids,1,52,52,0
P00727,Immunologic,1,52,52,0
P00728,Oncology,5,383,115,0
P00729,CNS / analgesia,3,167,94,0
P00730,CNS / analgesia,1,139,139,0
P00731,CNS / analgesia,2,97,61,0
P00732,Electrolytes / fluids,2,154,79,0
P00733,Anaesthesia,2,927,514,0
P00734,Endocrine,1,340,340,0
P00735,Immunologic,1,178,178,0
P00736,Anaesthesia,3,176,62,0
P00737,Oncology,1,95,95,0
P00738,Immunologic,2,128,67,0
P00739,CNS / analgesia,3,248,114,0
P00740,Electrolytes / fluids,1,89,89,0
P00741,Endocrine,1,77,77,0
P00742,Cardiovascular,5,401,220,0
P00743,Ophthalmic,5,461,248,0
P00744,Cardiovascular,1,133,133,0
P00745,Cardiovascular,4,548,298,0
P00746,Ophthalmic,1,21,21,0
P00747,Oncology,2,240,150,0
P00748,CNS / analgesia,1,82,82,0
P00749,Ophthalmic,1,120,120,0
P00750,Cardiovascular,1,243,243,0
P00751,Endocrine,1,158,158,0
P00752,Anti-infective,1,134,134,0
P00753,Ophthalmic,3,161,78,0
P00754,Anti-infective,3,191,118,0
P00755,Endocrine,1,15,15,0
P00756,Oncology,4,873,523,0
P00757,Respiratory,2,275,169,0
P00758,Ophthalmic,2,269,164,0
P00759,Immunologic,2,118,71,0
P00760,Cardiovascular,5,488,177,0
P00761,Anti-infective,3,455,392,0
P00762,CNS / analgesia,3,148,73,0
P00763,Endocrine,3,248,135,0
P00764,Anti-infective,1,50,50,0
P00765,Cardiovascular,1,83,83,0
P00766,Immunologic,2,304,245,0
P00767,Respiratory,1,80,80,0
P00768,Ophthalmic,1,184,184,0
P00769,Ophthalmic,1,232,232,0
P00770,Anti-infective,2,253,204,0
P00771,Endocrine,2,270,141,0
P00772,CNS / analgesia,2,430,392,0
P00773,Oncology,1,42,42,0
P00774,CNS / analgesia,1,42,42,0
P00775,Oncology,2,129,71,0
P00776,Anti-infective,4,370,132,0
P00777,Electrolytes / fluids,1,57,57,0
P00778,Endocrine,4,884,468,0
P00779,Anaesthesia,1,96,96,0
P00780,CNS / analgesia,3,321,250,0
P00781,Anaesthesia,2,163,88,0
P00782,Cardiovascular,1,127,127,0
P00783,Anaesthesia,1,91,91,0
P00784,Electrolytes / fluids,4,571,224,0
P00785,Immunologic,2,271,149,0
P00786,Oncology,1,108,108,0
P00787,Anaesthesia,1,135,135,0
P00788,Cardiovascular,3,445,209,0
P00789,Anti-infective,1,28,28,0
P00790,Endocrine,2,108,72,0
P00791,Electrolytes / fluids,1,188,188,0
P00792,Endocrine,2,356,202,0
P00793,CNS / analgesia,1,79,79,0
P00794,Endocrine,1,24,24,0
P00795,Anti-infective,1,253,253,0
P00796,Oncology,2,375,231,0
P00797,Oncology,1,78,78,0
P00798,CNS / analgesia,4,276,111,0
P00799,Electrolytes / fluids,1,53,53,0
P00800,Oncology,2,411,298,0
P00801,Anti-infective,1,69,69,0
P00802,Anti-infective,4,287,115,0
P00803,Cardiovascular,4,330,121,0
P00804,Electrolytes / fluids,1,47,47,0
P00805,Cardiovascular,2,353,309,0
P00806,Cardiovascular,1,79,79,0
P00807,Anti-infective,2,246,131,0
P00808,Cardiovascular,2,92,54,0
P00809,CNS / analgesia,1,52,52,0
P00810,Cardiovascular,4,305,169,0
P00811,Anaesthesia,3,881,533,0
P00812,Oncology,1,40,40,0
P00813,Ophthalmic,5,475,214,0
P00814,Oncology,3,1016,664,0
P00815,Ophthalmic,2,124,64,0
P00816,Ophthalmic,2,338,231,0
P00817,Cardiovascular,1,27,27,0
P00818,Anaesthesia,4,486,184,0
P00819,Respiratory,1,59,59,0
P00820,Endocrine,1,61,61,0
P00821,Anaesthesia,1,26,26,0
P00822,Immunologic,2,472,364,0
P00823,Anaesthesia,3,361,169,0
P00824,Cardiovascular,4,291,84,0
P00825,CNS / analgesia,1,37,37,0
P00826,CNS / analgesia,2,146,111,0
P00827,Anti-infective,2,89,62,0
P00828,Anti-infective,5,270,167,1
P00829,Anaesthesia,4,286,104,0
P00830,Cardiovascular,1,61,61,0
P00831,Anaesthesia,4,497,203,0
P00832,Endocrine,1,38,38,0
P00833,Electrolytes / fluids,1,82,82,0
P00834,Cardiovascular,2,121,86,0
P00835,Oncology,1,318,318,0
P00836,Cardiovascular,1,383,383,0
P00837,Anti-infective,2,182,99,0
P00838,Electrolytes / fluids,2,103,54,0
P00839,Oncology,3,229,138,0
P00840,CNS / analgesia,2,83,45,0
P00841,Anti-infective,2,68,39,0
P00842,Anti-infective,4,212,91,0
P00843,Immunologic,1,28,28,0
P00844,Anti-infective,2,97,73,0
P00845,Oncology,2,103,60,0
P00846,Electrolytes / fluids,1,38,38,0
P00847,CNS / analgesia,2,126,79,0
P00848,CNS / analgesia,3,159,107,0
P00849,Anti-infective,1,64,64,0
P00850,Cardiovascular,1,90,90,0
P00851,CNS / analgesia,2,322,286,0
P00852,Cardiovascular,5,838,424,0
P00853,Oncology,1,110,110,0
P00854,Anti-infective,1,177,177,0
P00855,Oncology,3,701,421,0
P00856,Anaesthesia,4,464,237,0
P00857,Anti-infective,3,378,266,0
P00858,Electrolytes / fluids,3,758,383,0
P00859,Ophthalmic,3,219,184,0
P00860,Oncology,2,442,335,0
P00861,Anti-infective,1,207,207,0
P00862,CNS / analgesia,2,851,498,0
P00863,Anti-infective,1,36,36,0
P00864,Anti-infective,1,36,36,0
P00865,Cardiovascular,1,44,44,0
P00866,CNS / analgesia,2,94,52,0
P00867,Cardiovascular,3,195,81,0
P00868,Cardiovascular,1,176,176,0
P00869,Anaesthesia,1,94,94,0
P00870,Anti-infective,1,431,431,0
P00871,CNS / analgesia,1,79,79,0
P00872,Cardiovascular,2,197,152,0
P00873,Ophthalmic,1,330,330,0
P00874,CNS / analgesia,1,143,143,0
P00875,Anti-infective,1,120,120,0
P00876,Immunologic,2,174,127,0
P00877,Electrolytes / fluids,2,249,210,0
P00878,Oncology,4,227,115,0
P00879,Anaesthesia,1,206,206,0
P00880,Anaesthesia,2,253,196,0
